date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,Class
2020-01-02,0.0,-0.010416666666666519,0.0,0.0,0.0,-6.8880208333333215,-22.38360677083333,-6.539583333333212,0.0,-27.208333333333336,0.0,0.08512499999999999,5.31291666666667,1.4624999999999995,0.7080078125097011,0
2020-01-03,0.0,-0.11457519531250004,0.0,0.0,0.0,-3.85546875,-2.077706705729166,7.53294270833328,0.0,-20.00390625,0.0,-0.03347395833333329,-1.1262630208333348,5.176106770833332,0.00016276039726403901,0
2020-01-04,0.0,0.16248779495557164,0.0,0.0,0.0,19.118774414062507,15.710629882812501,8.600553385416674,0.0,4.8416341145833215,0.0,0.061384765625000004,-3.045825195312501,-8.897281901041666,9.701572878384468e-12,0
2020-01-05,0.0,-0.016662599643071596,0.0,0.0,0.0,13.684849230448393,0.6107877604166667,-1.6709960937499773,0.0,-1.4210611979166572,0.0,0.008422526041666684,2.096671549479167,1.975341796875,0.0,0
2020-01-06,0.0,-0.014583333333333393,0.0,0.0,0.0,15.084441744486497,8.635461425781248,-4.508333333333326,0.0,-8.208333333333343,0.0,-0.004583333333333384,3.378333333333334,1.1875,0.0,1
2020-01-07,0.0,0.13960774739583337,0.0,0.0,0.0,-45.823742472330736,-24.612440592447918,5.375,0.0,-0.5833333333333215,0.0,-0.002833333333333299,-2.486666666666668,0.7541666666666664,0.0,0
2020-01-08,0.0,0.1541422526041667,0.0,0.0,0.0,-0.4579166666666623,3.599166666666667,-3.800000000000068,0.0,29.666666666666664,0.0,-0.019041666666666707,-1.2208333333333332,-1.5083333333333329,0.0,0
2020-01-09,0.0,-0.035412597656250044,0.0,0.0,0.0,40.16541666666667,16.056250000000006,-5.320833333333212,0.0,3.9583333333333286,0.0,-0.008625000000000008,2.566666666666668,-0.7541666666666673,0.0,0
2020-01-10,0.0,0.18853759765625,0.0,0.0,0.0,20.333437499999988,9.951249999999998,-4.329166666666765,0.0,-1.2916666666666572,0.0,-0.0080416666666666,1.3670833333333334,0.18333333333333357,0.0,1
2020-01-11,0.0,-0.14290364583333326,0.0,0.0,0.0,-43.28302083333334,-28.220833333333335,7.304166666666674,0.0,-44.75,0.0,0.04600000000000001,-0.7937499999999993,5.070833333333332,0.0,0
2020-01-12,0.0,-0.4974609375,0.0,0.0,0.0,8.65682291666667,12.514166666666664,0.3000000000000682,0.0,14.791666666666668,0.0,-0.018375000000000002,-3.3000000000000007,-5.404166666666666,0.0,0
2020-01-13,0.0,0.07031250198682137,0.0,0.0,0.0,49.09802083333334,12.3446875,-0.037500000000136424,0.0,19.45833333333332,0.0,-0.044083333333333405,2.12875,-1.4583333333333321,0.0,1
2020-01-14,0.0,0.16276092330614733,0.0,0.0,0.0,13.990094401041674,10.058645833333337,-0.8541666666666288,0.0,1.1666666666666785,0.0,0.031583333333333394,2.4354166666666615,0.5916666666666668,0.0,1
2020-01-15,0.0,-0.17500050862630212,0.0,0.0,0.0,15.26144205729166,1.5469791666666595,-0.8999999999999773,0.0,19.083333333333336,0.0,-0.0679583333333334,-0.7016666666666609,-1.1375000000000006,0.0,1
2020-01-16,0.0,0.11250000000000016,0.0,0.0,0.0,-69.92106770833333,-25.331588541666658,2.1000000000001364,0.0,4.458333333333329,0.0,-0.019791666666666596,0.7966666666666669,4.0875,0.0,0
2020-01-17,0.0,0.1377604166666666,0.0,0.0,0.0,-35.83072916666667,-6.872057291666669,-0.10833333333346218,0.0,5.958333333333329,0.0,0.004749999999999997,-0.9858333333333356,0.8500000000000005,0.0,0
2020-01-18,0.0,-0.07109375000000007,0.0,0.0,0.0,10.458333333333336,3.584583333333333,0.8791666666667197,0.0,-7.3125,0.0,0.0776666666666666,0.5158333333333296,-2.6500000000000004,0.0,0
2020-01-19,0.0,-0.0458332061767579,0.0,0.0,0.0,-13.520833333333336,-8.255416666666665,5.0416666666667425,0.0,-15.9375,0.0,-0.0651666666666667,-5.426249999999994,0.9833333333333334,0.0,0
2020-01-20,0.0,-0.004166920979810196,0.0,0.0,0.0,6.354166666666657,-1.7783333333333333,1.5916178385415378,0.0,-12.666666666666671,0.0,0.0501666666666667,-1.9908333333333346,3.1833333333333327,0.0,0
2020-01-21,0.0,1.2715656039219425e-07,0.0,0.0,0.0,-3.8333333333333215,1.7020833333333334,-2.933284505208235,0.0,25.750000000000014,0.0,-0.080875,-1.3283333333333331,2.25,0.0,0
2020-01-22,0.0,7.549516567451064e-15,0.0,0.0,0.0,30.869791666666664,12.067083333333334,-7.633333333333439,0.0,0.5833333333333286,0.0,0.030250000000000003,3.115416666666663,-7.095833333333332,0.0,0
2020-01-23,0.0,0.01243489583333346,0.0,0.0,0.0,19.658203125,1.5448958333333316,-0.13541666666662877,0.0,-19.4375,0.0,0.0969583333333334,3.4891666666666694,1.0708333333333329,0.0,0
2020-01-24,0.0,-0.13535156250000002,0.0,0.0,0.0,-28.746744791666664,-6.928229166666664,2.9437500000000227,0.0,3.9375,0.0,-0.023999999999999994,-1.2020833333333307,3.958333333333333,0.0,0
2020-01-25,0.0,-0.07708333333333328,0.0,0.0,0.0,17.677083333333336,12.46791666666666,-1.7958333333333485,0.0,15.666666666666671,0.0,-0.07433333333333339,-0.06458333333333499,-5.233333333333333,0.0,0
2020-01-26,0.0,0.08333333333333337,0.0,0.0,0.0,-3.020833333333343,-7.129166666666666,-0.6375000000000455,0.0,-29.083333333333336,0.0,0.0884166666666667,5.674166666666665,2.325,0.0,0
2020-01-27,0.0,0.07089843749999991,0.0,0.0,0.0,6.703125,-4.227708333333329,-1.341666666666697,0.0,-0.875,0.0,0.015208333333333296,-0.6875,0.125,0.0,0
2020-01-28,0.0,-6.510416666660745e-05,0.0,0.0,0.0,-8.786458333333329,-5.1260416666666675,-0.9583333333332575,0.0,-1.625,0.0,0.007833333333333387,0.3237499999999969,3.354166666666668,0.0,0
