FECHA,CO,NO,NO2,NOX,O3,PM10,SO2
01/01/2021,0.5,3,30,33,12,42,2
01/01/2021,0.48,2,26,28,13,58,3
01/01/2021,0.6,3,32,35,6,59,2
01/01/2021,0.61,5,33,38,4,64,2
01/01/2021,0.63,5,32,37,4,67,2
01/01/2021,0.67,7,29,36,3,52,2
01/01/2021,0.53,4,27,31,4,49,1
01/01/2021,0.51,5,24,29,7,45,1
01/01/2021,0.6,11,21,33,17,56,2
01/01/2021,0.61,11,25,36,33,64,2
01/01/2021,0.59,8,26,33,52,65,2
01/01/2021,0.31,4,18,22,56,41,2
01/01/2021,0.2,3,13,16,62,26,2
01/01/2021,0.07,1,7,8,62,31,1
01/01/2021,0.08,0,4,4,52,16,1
01/01/2021,0.05,0,4,4,47,-99,1
01/01/2021,0.09,1,6,7,46,24,1
01/01/2021,0.09,1,7,7,43,25,1
01/01/2021,0.17,0,11,11,36,24,1
01/01/2021,0.28,2,17,19,31,31,1
01/01/2021,0.5,2,31,33,22,56,2
01/01/2021,0.67,2,43,44,11,46,2
01/01/2021,0.61,2,39,41,13,43,2
01/01/2021,0.62,3,41,44,10,43,2
02/01/2021,-99,-99,-99,-99,-99,45,-99
02/01/2021,-99,-99,-99,-99,-99,50,-99
02/01/2021,-99,-99,-99,-99,-99,35,-99
02/01/2021,0.49,4,31,35,6,41,1
02/01/2021,0.45,18,32,50,3,47,2
02/01/2021,0.38,9,31,41,4,44,1
02/01/2021,0.53,26,32,58,2,33,2
02/01/2021,0.96,86,34,119,2,41,3
02/01/2021,0.88,73,34,107,7,48,3
02/01/2021,0.72,39,39,79,19,56,4
02/01/2021,0.79,47,48,95,27,75,6
02/01/2021,0.65,26,38,64,37,62,5
02/01/2021,0.46,13,29,42,47,49,3
02/01/2021,0.19,5,18,23,56,32,2
02/01/2021,0.17,4,16,20,66,32,2
02/01/2021,0.22,6,18,24,72,34,2
02/01/2021,0.25,3,21,24,75,32,2
02/01/2021,0.26,2,22,24,64,53,2
02/01/2021,0.43,3,32,35,39,75,2
02/01/2021,0.55,2,38,40,27,72,2
02/01/2021,0.68,9,45,54,16,68,3
02/01/2021,0.98,31,54,85,6,65,3
02/01/2021,0.93,18,52,70,4,60,19
02/01/2021,0.72,11,47,59,8,48,22
03/01/2021,1.05,33,48,81,3,57,13
03/01/2021,0.69,19,43,62,3,49,10
03/01/2021,0.38,1,28,29,12,40,6
03/01/2021,0.4,3,32,34,8,39,5
03/01/2021,0.35,2,27,28,10,30,3
03/01/2021,0.39,5,29,34,7,27,2
03/01/2021,0.45,9,30,39,6,18,2
03/01/2021,1.05,72,34,106,2,38,3
03/01/2021,0.87,51,32,83,8,36,2
03/01/2021,0.71,30,37,67,23,38,2
03/01/2021,0.77,22,43,65,36,51,3
03/01/2021,0.71,18,39,57,47,46,2
03/01/2021,0.38,9,27,36,55,33,2
03/01/2021,0.32,7,23,30,58,28,2
03/01/2021,0.25,4,17,21,68,-99,2
03/01/2021,0.09,2,11,12,56,19,1
03/01/2021,0.06,1,8,10,43,22,1
03/01/2021,0.05,2,8,11,30,24,1
03/01/2021,0.3,4,19,23,32,27,4
03/01/2021,0.4,15,41,56,19,46,5
03/01/2021,0.28,21,51,72,9,63,4
03/01/2021,0.42,6,42,49,16,63,7
03/01/2021,0.53,9,45,54,8,53,3
03/01/2021,0.38,5,29,33,8,33,1
04/01/2021,0.26,1,22,23,12,33,1
04/01/2021,0.28,1,23,24,12,27,1
04/01/2021,0.24,1,23,24,12,30,2
04/01/2021,0.33,9,29,39,6,33,2
04/01/2021,0.28,11,29,40,5,40,2
04/01/2021,0.34,14,30,44,4,31,2
04/01/2021,0.75,64,37,101,2,38,3
04/01/2021,1.54,178,47,225,2,60,5
04/01/2021,1.88,187,49,236,3,92,7
04/01/2021,1.54,121,61,183,8,101,11
04/01/2021,1.01,57,60,117,21,122,18
04/01/2021,0.69,22,39,61,39,74,9
04/01/2021,0.48,13,28,41,52,59,6
04/01/2021,0.38,11,26,37,59,51,6
04/01/2021,0.41,8,28,37,65,47,5
04/01/2021,0.31,6,25,31,72,52,4
04/01/2021,0.43,4,21,25,75,42,4
04/01/2021,0.55,8,36,44,53,24,4
04/01/2021,0.72,9,52,61,26,-99,16
04/01/2021,0.62,9,52,61,19,-99,24
04/01/2021,0.64,16,47,63,9,-99,6
04/01/2021,0.57,12,49,61,5,-99,3
04/01/2021,0.51,4,40,43,12,-99,5
04/01/2021,0.36,1,31,32,18,-99,6
05/01/2021,0.3,3,36,39,13,-99,5
05/01/2021,0.26,2,34,36,14,-99,3
05/01/2021,0.29,3,33,36,11,-99,5
05/01/2021,0.18,1,29,30,13,-99,4
05/01/2021,0.2,2,26,28,12,-99,4
05/01/2021,0.25,9,34,43,6,-99,3
05/01/2021,0.75,53,43,96,2,-99,3
05/01/2021,1.29,129,42,171,1,-99,5
05/01/2021,1.32,109,45,154,4,-99,5
05/01/2021,1.18,72,52,124,12,-99,11
05/01/2021,0.88,50,60,110,22,-99,14
05/01/2021,0.59,27,48,75,36,-99,14
05/01/2021,0.55,14,30,44,54,-99,10
05/01/2021,0.41,11,34,45,62,-99,8
05/01/2021,0.43,7,23,30,77,-99,5
05/01/2021,0.34,4,24,28,82,-99,6
05/01/2021,0.51,5,28,34,86,-99,5
05/01/2021,0.49,2,30,32,76,-99,5
05/01/2021,0.53,4,37,41,26,-99,4
05/01/2021,0.43,7,32,39,18,-99,2
05/01/2021,0.5,8,39,47,19,-99,24
05/01/2021,0.51,6,42,48,15,-99,38
05/01/2021,0.58,9,42,51,8,-99,34
05/01/2021,0.65,12,44,56,4,-99,32
06/01/2021,0.62,13,41,54,4,49,17
06/01/2021,0.42,5,35,40,6,44,6
06/01/2021,0.5,9,34,43,4,45,5
06/01/2021,0.47,11,35,46,2,39,4
06/01/2021,0.59,26,35,61,2,48,6
06/01/2021,0.47,27,31,59,1,32,4
06/01/2021,0.75,61,33,94,2,38,5
06/01/2021,1.19,101,35,135,2,52,6
06/01/2021,1.62,132,44,176,4,72,8
06/01/2021,2.05,171,77,247,8,149,31
06/01/2021,1.03,49,62,111,24,98,17
06/01/2021,0.78,22,46,68,39,59,6
06/01/2021,0.58,13,34,47,48,60,5
06/01/2021,0.48,9,34,43,59,56,5
06/01/2021,0.43,5,29,33,69,56,4
06/01/2021,0.33,4,19,23,65,42,2
06/01/2021,0.29,7,19,26,59,46,2
06/01/2021,0.29,8,20,28,41,34,2
06/01/2021,0.39,5,22,27,26,33,1
06/01/2021,0.61,18,30,48,14,34,2
06/01/2021,0.51,20,29,49,11,40,2
06/01/2021,0.42,17,31,49,5,35,2
06/01/2021,0.38,8,21,29,11,35,2
06/01/2021,0.58,21,32,53,2,45,2
07/01/2021,0.39,12,30,42,3,29,2
07/01/2021,0.34,8,29,37,2,31,3
07/01/2021,0.23,8,24,32,5,33,2
07/01/2021,0.27,16,27,43,4,34,2
07/01/2021,0.1,1,16,17,16,23,2
07/01/2021,0.15,3,21,24,13,20,16
07/01/2021,0.3,9,27,36,10,33,12
07/01/2021,0.37,10,27,37,10,42,7
07/01/2021,0.7,35,36,71,7,53,14
07/01/2021,0.76,40,39,79,11,74,22
07/01/2021,0.73,40,39,79,16,66,17
07/01/2021,0.76,44,50,94,20,87,17
07/01/2021,0.73,31,50,81,28,82,23
07/01/2021,0.61,12,39,51,48,68,12
07/01/2021,0.57,10,43,54,53,66,7
07/01/2021,0.53,7,34,40,67,66,6
07/01/2021,0.58,6,35,41,68,73,5
07/01/2021,0.55,6,38,44,54,73,4
07/01/2021,0.57,16,49,65,21,66,4
07/01/2021,0.59,10,47,56,15,81,4
07/01/2021,0.39,7,38,45,18,57,5
07/01/2021,0.4,4,33,38,19,51,18
07/01/2021,0.59,8,41,49,9,51,30
07/01/2021,0.56,9,44,53,5,48,27
08/01/2021,-99,-99,-99,-99,-99,47,-99
08/01/2021,-99,-99,-99,-99,-99,40,-99
08/01/2021,-99,-99,-99,-99,-99,25,-99
08/01/2021,0.31,8,26,34,8,33,7
08/01/2021,0.23,5,25,30,7,31,5
08/01/2021,0.33,13,28,41,3,41,5
08/01/2021,0.58,48,30,78,2,37,6
08/01/2021,1.04,91,32,123,2,49,7
08/01/2021,1.24,97,38,135,4,73,9
08/01/2021,1.21,90,49,139,9,81,11
08/01/2021,0.87,56,54,110,19,80,18
08/01/2021,0.48,24,38,62,40,71,11
08/01/2021,0.39,7,23,30,52,43,4
08/01/2021,0.33,5,22,27,63,37,4
08/01/2021,0.55,10,35,44,66,60,6
08/01/2021,0.51,7,28,35,73,47,5
08/01/2021,0.28,1,20,21,71,60,3
08/01/2021,0.39,2,25,27,54,46,3
08/01/2021,0.48,3,28,32,48,54,3
08/01/2021,0.51,4,32,36,29,31,3
08/01/2021,0.68,6,46,52,15,35,3
08/01/2021,0.71,8,45,52,12,46,3
08/01/2021,0.61,5,36,40,12,43,2
08/01/2021,0.54,7,33,40,8,41,2
09/01/2021,0.52,10,34,44,6,53,3
09/01/2021,0.38,6,29,35,5,43,4
09/01/2021,0.32,3,27,30,7,43,3
09/01/2021,0.21,2,20,21,10,25,3
09/01/2021,0.19,2,16,17,12,28,2
09/01/2021,0.28,9,20,30,6,18,2
09/01/2021,0.48,32,25,57,2,29,2
09/01/2021,0.68,57,25,83,2,31,3
09/01/2021,1.4,114,34,148,4,53,5
09/01/2021,0.97,52,39,91,12,60,6
09/01/2021,0.87,40,44,84,16,70,6
09/01/2021,0.67,34,44,78,30,72,6
09/01/2021,0.39,8,24,32,53,43,2
09/01/2021,0.3,4,19,23,66,48,2
09/01/2021,0.31,3,19,22,63,44,2
09/01/2021,0.17,3,10,13,37,34,1
09/01/2021,0.16,4,11,14,38,25,1
09/01/2021,0.17,3,12,15,32,19,1
09/01/2021,0.27,2,15,17,25,25,1
09/01/2021,0.42,3,21,24,17,22,1
09/01/2021,0.31,1,18,19,18,23,2
09/01/2021,0.48,3,24,27,11,24,2
09/01/2021,0.37,6,24,29,12,23,2
09/01/2021,0.39,7,23,30,10,23,2
10/01/2021,0.53,8,25,33,8,23,2
10/01/2021,0.34,3,16,19,14,13,1
10/01/2021,0.17,1,16,17,14,17,1
10/01/2021,0.42,4,16,19,14,10,1
10/01/2021,0.56,8,25,33,3,24,1
10/01/2021,0.28,8,21,28,3,24,1
10/01/2021,0.59,38,24,62,2,45,3
10/01/2021,0.65,42,24,66,2,28,3
10/01/2021,0.88,42,25,67,6,30,2
10/01/2021,0.35,13,15,27,23,20,2
10/01/2021,0.16,3,7,10,32,17,1
10/01/2021,0.09,2,5,7,35,12,1
10/01/2021,0.06,3,6,9,35,23,1
10/01/2021,0.05,2,4,7,36,13,1
10/01/2021,0.04,2,6,8,38,10,1
10/01/2021,0.05,1,5,7,40,30,1
10/01/2021,0.06,2,6,8,39,21,1
10/01/2021,0.1,2,8,11,35,-99,1
10/01/2021,0.11,2,12,14,29,20,1
10/01/2021,0.24,3,19,22,20,17,1
10/01/2021,0.41,7,28,35,11,22,1
10/01/2021,0.28,3,22,25,12,24,1
10/01/2021,0.19,1,19,20,14,16,1
10/01/2021,0.35,4,25,29,6,21,1
11/01/2021,0.43,10,27,37,2,30,1
11/01/2021,0.4,13,26,39,4,24,1
11/01/2021,0.18,0,16,16,14,23,1
11/01/2021,0.12,0,12,12,18,26,10
11/01/2021,0.15,1,13,14,16,34,19
11/01/2021,0.3,7,24,30,7,36,18
11/01/2021,0.65,51,30,81,2,44,20
11/01/2021,0.85,67,29,96,2,43,17
11/01/2021,1.54,109,34,143,3,54,18
11/01/2021,1.09,79,37,116,7,66,20
11/01/2021,0.87,67,43,110,7,62,15
11/01/2021,0.74,36,39,75,20,54,9
11/01/2021,0.78,26,41,67,31,54,5
11/01/2021,0.32,6,13,20,34,-99,2
11/01/2021,-99,-99,-99,-99,-99,-99,-99
11/01/2021,0.04,6,10,15,33,-99,1
11/01/2021,0.01,4,8,12,33,-99,1
11/01/2021,0.05,4,11,14,27,47,1
11/01/2021,0.09,3,15,17,21,30,1
11/01/2021,0.18,5,20,24,17,24,2
11/01/2021,0.21,5,25,29,14,28,2
11/01/2021,0.16,3,23,26,16,26,2
11/01/2021,0.36,6,30,37,8,32,2
11/01/2021,0.37,12,34,46,4,22,2
12/01/2021,0.17,3,24,27,10,14,2
12/01/2021,0.14,5,30,35,4,16,2
12/01/2021,0.15,5,28,33,3,25,2
12/01/2021,0.2,12,29,41,2,20,2
12/01/2021,0.25,21,29,51,2,34,2
12/01/2021,0.32,30,26,56,1,28,2
12/01/2021,0.81,73,29,102,1,50,3
12/01/2021,1.13,106,34,140,1,61,3
12/01/2021,1.22,93,36,129,4,58,4
12/01/2021,0.68,35,31,66,15,34,2
12/01/2021,0.56,27,32,59,26,32,2
12/01/2021,0.19,10,16,26,36,23,1
12/01/2021,0.19,10,17,27,41,22,1
12/01/2021,0.09,6,12,17,40,23,1
12/01/2021,0,4,8,11,35,-99,1
12/01/2021,0.02,4,9,13,36,-99,1
12/01/2021,0.04,4,11,14,35,-99,1
12/01/2021,0.09,4,12,16,30,-99,1
12/01/2021,0.2,7,21,28,17,-99,1
12/01/2021,0.23,6,23,30,16,-99,1
12/01/2021,0.11,2,16,17,22,-99,1
12/01/2021,0.25,6,25,30,13,-99,1
12/01/2021,0.25,3,25,28,12,-99,1
12/01/2021,0.48,14,39,53,2,-99,2
13/01/2021,0.51,22,36,58,2,-99,2
13/01/2021,0.32,17,30,47,1,-99,2
13/01/2021,0.2,7,27,34,2,-99,1
13/01/2021,0.16,5,27,32,3,-99,1
13/01/2021,0.24,10,27,37,2,-99,1
13/01/2021,0.35,29,27,56,2,-99,2
13/01/2021,0.85,110,31,141,2,-99,4
13/01/2021,0.93,116,32,147,2,-99,6
13/01/2021,0.82,79,29,108,4,-99,5
13/01/2021,1.14,98,42,140,8,-99,16
13/01/2021,0.81,41,47,89,20,-99,9
13/01/2021,0.64,22,50,71,35,-99,6
13/01/2021,0.63,20,49,69,45,-99,6
13/01/2021,0.6,14,45,58,-99,-99,-99
13/01/2021,0.51,9,42,51,-99,-99,-99
13/01/2021,-99,-99,-99,-99,-99,-99,-99
13/01/2021,-99,-99,-99,-99,-99,-99,-99
13/01/2021,-99,-99,-99,-99,-99,-99,-99
13/01/2021,-99,-99,-99,-99,-99,-99,-99
13/01/2021,-99,-99,-99,-99,-99,-99,-99
13/01/2021,-99,-99,-99,-99,-99,-99,-99
13/01/2021,-99,-99,-99,-99,-99,-99,-99
13/01/2021,-99,-99,-99,-99,-99,-99,-99
13/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,-99,-99,-99,-99,-99,-99,-99
14/01/2021,0.82,40,63,102,-99,-99,-99
14/01/2021,0.34,15,29,45,-99,-99,-99
14/01/2021,0.13,8,15,22,35,-99,3
14/01/2021,0.09,5,9,14,29,-99,1
14/01/2021,0.08,7,15,22,23,-99,1
14/01/2021,0.1,7,16,23,18,-99,1
14/01/2021,0.18,9,20,29,13,-99,2
14/01/2021,0.27,17,34,51,5,-99,5
14/01/2021,0.33,15,37,52,5,-99,6
14/01/2021,0.27,16,34,50,5,-99,6
14/01/2021,0.34,21,36,57,2,-99,3
14/01/2021,0.49,37,37,74,2,-99,6
15/01/2021,0.25,12,29,41,2,34,3
15/01/2021,0.08,10,34,44,4,37,19
15/01/2021,0.06,8,34,43,2,49,25
15/01/2021,0.13,13,31,44,4,44,17
15/01/2021,0.25,37,34,71,2,45,13
15/01/2021,0.37,46,29,75,2,54,7
15/01/2021,0.53,66,29,95,1,48,6
15/01/2021,0.75,89,28,118,2,49,6
15/01/2021,0.99,85,32,117,5,49,8
15/01/2021,1.2,114,49,163,6,89,14
15/01/2021,0.8,45,42,87,18,103,10
15/01/2021,0.33,22,29,51,30,70,11
15/01/2021,0.33,20,34,54,33,67,8
15/01/2021,0.33,16,37,54,42,71,9
15/01/2021,0.39,10,41,51,61,83,10
15/01/2021,0.44,7,47,55,68,85,8
15/01/2021,0.63,17,65,82,32,90,29
15/01/2021,0.75,18,55,73,33,95,22
15/01/2021,0.97,9,69,78,16,76,10
15/01/2021,0.72,11,51,62,19,71,35
15/01/2021,0.61,17,55,72,10,63,36
15/01/2021,0.29,11,40,51,10,80,6
15/01/2021,0.44,9,43,52,7,66,4
15/01/2021,0.44,11,41,53,7,60,9
16/01/2021,0.42,14,44,58,4,53,12
16/01/2021,0.36,24,42,66,3,73,18
16/01/2021,0.24,5,34,40,7,50,44
16/01/2021,0.12,2,26,28,10,43,31
16/01/2021,0.17,6,26,32,6,44,23
16/01/2021,0.36,33,36,69,2,53,32
16/01/2021,0.56,71,38,109,1,56,27
16/01/2021,0.71,71,34,105,2,45,29
16/01/2021,1.03,89,38,127,4,51,53
16/01/2021,0.87,75,48,124,13,88,99
16/01/2021,0.4,27,38,66,27,64,68
16/01/2021,0.32,25,40,65,34,57,35
16/01/2021,0.17,10,23,33,46,41,12
16/01/2021,0.19,7,23,30,61,36,7
16/01/2021,0.19,4,21,24,68,37,5
16/01/2021,0.24,3,26,29,66,36,5
16/01/2021,0.19,1,22,23,58,35,4
16/01/2021,0.2,4,19,22,34,45,3
16/01/2021,0.13,7,15,22,24,20,2
16/01/2021,0.45,15,32,46,9,24,3
16/01/2021,0.53,11,37,48,13,36,3
16/01/2021,0.38,11,42,53,14,42,3
16/01/2021,0.5,4,42,46,7,37,3
16/01/2021,0.54,4,41,44,5,40,2
17/01/2021,0.33,2,28,30,9,25,2
17/01/2021,0.23,5,26,31,9,22,2
17/01/2021,0.2,7,25,32,9,27,2
17/01/2021,0.2,3,24,27,8,23,2
17/01/2021,0.28,6,29,35,2,30,2
17/01/2021,0.34,10,28,39,2,28,2
17/01/2021,0.42,15,27,42,1,39,2
17/01/2021,0.39,27,26,53,2,21,2
17/01/2021,0.76,42,28,71,4,31,2
17/01/2021,0.57,23,28,51,17,22,2
17/01/2021,0.33,14,23,37,25,31,2
17/01/2021,0.21,12,21,33,29,16,2
17/01/2021,0.07,5,12,17,34,13,2
17/01/2021,0.05,6,8,13,29,9,1
17/01/2021,0.01,5,9,15,29,22,2
17/01/2021,-99,-99,-99,-99,-99,-99,-99
17/01/2021,-99,-99,-99,-99,-99,-99,-99
17/01/2021,-99,-99,-99,-99,-99,-99,-99
17/01/2021,-99,-99,-99,-99,-99,-99,-99
17/01/2021,-99,-99,-99,-99,-99,-99,-99
17/01/2021,-99,-99,-99,-99,-99,-99,-99
17/01/2021,-99,-99,-99,-99,-99,-99,-99
17/01/2021,0.54,24,31,55,1,-99,2
17/01/2021,0.57,29,22,51,1,18,1
18/01/2021,0.52,33,20,52,1,24,2
18/01/2021,0.32,21,19,40,1,20,2
18/01/2021,0.31,19,19,37,1,12,2
18/01/2021,0.29,19,18,37,1,22,2
18/01/2021,0.13,10,17,27,1,13,2
18/01/2021,0.21,30,17,47,1,22,2
18/01/2021,0.51,58,16,75,1,21,2
18/01/2021,0.99,106,21,127,2,26,3
18/01/2021,1.3,122,30,151,3,38,4
18/01/2021,1.03,73,47,120,11,51,5
18/01/2021,0.99,69,61,130,18,64,6
18/01/2021,0.63,42,44,87,26,47,5
18/01/2021,0.2,11,20,31,44,20,2
18/01/2021,0.27,10,27,37,57,42,3
18/01/2021,0.25,8,27,36,68,37,3
18/01/2021,0.23,4,25,29,82,38,2
18/01/2021,0.3,2,25,27,84,32,2
18/01/2021,0.28,2,27,29,51,54,2
18/01/2021,0.33,4,35,39,19,32,2
18/01/2021,0.53,6,44,50,13,38,2
18/01/2021,0.59,8,51,58,6,44,2
18/01/2021,0.84,19,55,75,2,44,2
18/01/2021,1.15,51,55,106,2,47,3
18/01/2021,0.98,40,55,95,2,50,3
19/01/2021,0.68,31,51,82,2,62,2
19/01/2021,0.53,37,42,79,2,36,2
19/01/2021,0.39,27,33,60,2,40,2
19/01/2021,0.29,16,31,47,2,34,2
19/01/2021,0.17,11,27,38,2,22,2
19/01/2021,0.41,29,29,58,2,37,2
19/01/2021,1.03,119,33,152,2,56,6
19/01/2021,1.3,155,35,190,2,67,15
19/01/2021,1.01,93,34,126,4,50,5
19/01/2021,0.82,56,42,97,13,57,6
19/01/2021,0.96,61,62,123,20,76,11
19/01/2021,0.46,24,46,70,42,52,7
19/01/2021,0.36,10,38,48,62,47,4
19/01/2021,0.28,8,27,35,66,42,3
19/01/2021,0.14,6,18,24,64,34,2
19/01/2021,0.06,3,14,17,65,10,2
19/01/2021,0.19,5,22,27,70,24,3
19/01/2021,0.34,13,32,45,58,29,3
19/01/2021,0.38,13,34,47,35,79,2
19/01/2021,0.37,7,34,42,28,85,3
19/01/2021,0.24,5,33,38,25,90,6
19/01/2021,0.14,2,24,27,33,46,2
19/01/2021,0.01,1,16,17,37,24,2
19/01/2021,0.05,1,18,19,31,27,9
20/01/2021,-99,-99,-99,-99,-99,39,-99
20/01/2021,-99,-99,-99,-99,-99,36,-99
20/01/2021,-99,-99,-99,-99,-99,31,-99
20/01/2021,-99,0,10,11,34,21,-99
20/01/2021,-99,0,13,13,30,26,-99
20/01/2021,-99,2,19,21,21,31,6
20/01/2021,0.15,7,28,35,10,38,10
20/01/2021,0.35,16,32,48,6,50,8
20/01/2021,0.41,26,30,56,12,43,14
20/01/2021,0.57,46,32,78,13,83,35
20/01/2021,0.53,39,35,74,17,75,28
20/01/2021,0.33,22,28,50,32,63,16
20/01/2021,0.43,21,35,56,43,71,15
20/01/2021,0.34,15,34,49,51,61,12
20/01/2021,0.23,9,27,36,61,56,7
20/01/2021,0.15,3,20,23,78,39,6
20/01/2021,0.14,2,20,22,69,54,6
20/01/2021,0.02,3,15,18,39,29,9
20/01/2021,0.27,15,35,50,15,60,11
20/01/2021,0.15,7,26,33,15,30,3
20/01/2021,0.05,11,25,36,15,21,3
20/01/2021,0.15,5,21,26,9,25,16
20/01/2021,0.14,5,20,25,7,29,33
20/01/2021,0.12,4,20,24,6,23,26
21/01/2021,0.13,7,22,28,4,25,16
21/01/2021,0.12,11,24,35,2,32,13
21/01/2021,0.04,6,18,24,4,24,11
21/01/2021,0.09,13,22,35,2,41,8
21/01/2021,0.04,9,17,26,2,20,6
21/01/2021,0.13,24,18,42,2,19,5
21/01/2021,0.38,61,18,80,1,30,5
21/01/2021,0.82,98,20,118,2,29,5
21/01/2021,1.08,123,27,150,4,50,6
21/01/2021,0.61,46,34,81,15,53,7
21/01/2021,0.63,35,47,82,26,63,7
21/01/2021,0.57,26,45,71,36,52,6
21/01/2021,0.27,17,33,50,41,47,4
21/01/2021,0.1,10,20,29,46,23,3
21/01/2021,0.01,5,14,19,57,38,3
21/01/2021,0.17,6,24,30,64,41,3
21/01/2021,0.27,12,33,45,63,44,3
21/01/2021,0.32,9,29,38,41,30,3
21/01/2021,0.56,20,49,69,20,56,3
21/01/2021,0.59,25,56,81,3,64,2
21/01/2021,1.33,80,57,138,3,62,3
21/01/2021,1.41,77,52,129,2,57,5
21/01/2021,0.77,27,46,73,4,56,6
21/01/2021,0.59,26,46,72,2,73,7
22/01/2021,0.49,28,44,72,3,71,7
22/01/2021,0.48,23,39,62,2,45,4
22/01/2021,0.18,5,32,36,5,36,3
22/01/2021,0.09,2,26,29,9,38,3
22/01/2021,0.14,7,29,36,4,28,3
22/01/2021,0.2,20,30,51,2,35,3
22/01/2021,0.59,65,34,99,2,48,3
22/01/2021,1.32,144,38,183,2,49,5
22/01/2021,1.67,150,47,197,4,57,5
22/01/2021,0.95,64,51,115,12,59,6
22/01/2021,0.53,27,37,65,29,40,5
22/01/2021,0.43,19,35,54,42,48,6
22/01/2021,0.28,12,29,41,51,37,5
22/01/2021,0.11,6,23,29,67,47,4
22/01/2021,0.1,3,21,24,86,34,5
22/01/2021,0.18,5,28,32,92,45,5
22/01/2021,0.23,5,31,35,94,58,5
22/01/2021,0.57,12,45,57,75,46,6
22/01/2021,1.04,29,57,87,36,74,7
22/01/2021,0.75,12,62,74,23,71,5
22/01/2021,0.74,14,54,68,19,96,5
22/01/2021,0.6,5,46,51,25,72,3
22/01/2021,0.48,6,44,50,10,71,3
22/01/2021,0.27,6,37,43,12,61,3
23/01/2021,0.3,19,43,62,4,59,4
23/01/2021,0.17,4,34,38,9,38,3
23/01/2021,0.18,5,33,38,6,40,3
23/01/2021,0.13,2,27,29,9,37,2
23/01/2021,0.01,1,20,21,18,34,2
23/01/2021,0.12,5,27,31,8,22,2
23/01/2021,0.35,26,34,60,2,29,2
23/01/2021,0.81,86,36,122,2,39,3
23/01/2021,1.01,88,41,129,4,54,4
23/01/2021,0.84,49,49,99,15,53,4
23/01/2021,0.59,28,49,76,30,69,5
23/01/2021,0.54,25,53,78,40,68,8
23/01/2021,0.35,14,35,49,50,62,6
23/01/2021,0.24,12,24,36,65,44,5
23/01/2021,0.11,4,20,24,81,61,5
23/01/2021,0.16,2,20,23,86,50,5
23/01/2021,0.24,2,24,26,96,47,5
23/01/2021,0.17,1,19,21,91,51,4
23/01/2021,0.32,8,40,49,69,61,4
23/01/2021,0.81,9,69,78,34,76,4
23/01/2021,0.8,19,48,67,20,41,3
23/01/2021,0.66,8,47,55,16,63,3
23/01/2021,0.53,6,45,51,13,67,3
23/01/2021,0.44,4,34,39,17,43,4
24/01/2021,0.59,7,45,52,7,45,4
24/01/2021,0.49,6,39,45,9,38,4
24/01/2021,0.44,5,35,40,9,42,4
24/01/2021,0.54,6,38,44,7,41,3
24/01/2021,0.21,3,28,31,10,37,3
24/01/2021,0.22,3,29,31,9,39,3
24/01/2021,0.25,9,32,41,8,31,3
24/01/2021,0.59,31,37,68,2,41,3
24/01/2021,0.77,29,38,67,8,41,4
24/01/2021,0.67,24,40,64,20,53,5
24/01/2021,0.47,14,35,50,40,57,5
24/01/2021,0.59,11,40,50,59,65,4
24/01/2021,0.6,8,38,46,72,66,5
24/01/2021,0.22,3,21,24,77,49,4
24/01/2021,0.27,3,22,25,77,48,4
24/01/2021,0.31,5,26,31,71,53,3
24/01/2021,0.28,4,26,30,66,49,3
24/01/2021,0.21,8,28,36,42,42,2
24/01/2021,0.19,10,38,48,22,53,2
24/01/2021,0.36,8,39,47,13,40,2
24/01/2021,1.01,36,55,91,4,57,3
24/01/2021,0.75,20,54,74,5,50,2
24/01/2021,0.92,29,59,88,2,53,2
24/01/2021,0.67,15,55,70,3,47,2
25/01/2021,0.66,16,47,64,2,43,2
25/01/2021,0.37,2,33,35,9,30,2
25/01/2021,0.48,8,37,44,4,37,2
25/01/2021,0.51,15,40,55,2,38,2
25/01/2021,0.26,4,30,34,5,32,2
25/01/2021,0.33,18,33,51,2,36,2
25/01/2021,0.5,39,34,74,2,36,2
25/01/2021,0.99,88,36,125,2,44,3
25/01/2021,1.88,165,50,214,4,79,6
25/01/2021,1.07,86,60,145,13,78,7
25/01/2021,0.74,-99,-99,-99,29,66,4
25/01/2021,0.77,27,58,84,45,60,3
25/01/2021,0.28,10,31,41,56,35,2
25/01/2021,0.21,9,28,37,68,35,3
25/01/2021,0,3,10,12,53,-99,2
25/01/2021,0.07,4,13,17,66,-99,3
25/01/2021,0.07,2,18,20,67,54,3
25/01/2021,0.09,2,17,20,49,37,2
25/01/2021,0.25,10,18,28,33,34,2
25/01/2021,0,4,16,19,27,33,2
