date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2020-01-01,1.0282058155979532,-2.840189458689737,-3.0406427077038822,-3.063424541320825,-1.39804116689676,-1.2445482325084762,1.0468776541327163,5.828670879282072e-16,2.684263978339262,2.375424257731634,-1.2143195055029545,-1.9784311783589668,-1.6084415321960726,-1.4774913291029168,2.012356456897771
2020-01-02,0.8134741464811012,-2.840189458689737,-3.040042356245374,-3.067523947874091,-0.3132968541510885,-2.836582741927809,-1.7834565102091808,-8.659739592076221e-15,2.66227248642947,0.5221078145332477,-1.3247497647215492,-0.9032895829001919,-1.0850921832297866,-1.3020635958026385,1.8308461427269271
2020-01-03,0.7611952554317725,-2.840189458689737,-2.9954727264287,-3.415208187656499,-0.12425096388309778,-1.1383604699176466,-1.1797473874457287,-3.885780586188048e-16,-0.45125911204858876,-1.0567596033244058,-0.9464616181183361,-0.8752676785482528,-1.0769715271286278,-0.4003059100749761,2.411637817650688
2020-01-04,0.7875963292822891,-2.840189458689737,-2.991875671736667,-3.4481141854798465,-0.4920393119205132,-1.5981545348222563,-0.8403969608819567,1.3877787807814457e-14,-0.45125911204858876,-1.0652585444619886,-0.6539914369798984,-0.39455115027017573,-1.397913102860928,-1.0480029157854782,1.2510633794003139
2020-01-05,0.8864803047623789,-2.840189458689737,-3.0759725156765048,-3.413904483315202,0.050273214427701565,-1.283705843294559,-0.33066345537929315,1.2878587085651816e-14,-0.45125911204858876,-0.7694903760440464,-0.15303994269439386,-0.3762360714654133,-1.3229672626756148,-0.9407573934003205,1.3949078960348997
2020-01-06,1.1533747874370943,-2.840189458689737,-2.6756796199871906,-3.236267945197014,-0.02202782632793336,-0.6568617982870769,0.11646350551234996,5.800915303666443e-15,-0.45125911204858876,-1.2325076059928912,1.0214387304821697,-0.4012532191860562,-0.9088661538717777,-0.9438965986460406,1.4667193613746736
2020-01-07,0.8631674918475123,-2.840189458689737,-3.221581617517037,-3.417063165990409,0.7731605914847619,-0.7595816954859158,-1.0828774565171984,1.2878587085651816e-14,-0.45125911204858876,-1.519879962982998,0.6505482676982255,-0.5361692353249699,-1.066006424395612,-1.2510571519258498,-0.8287188968540427
2020-01-08,0.9441977041613733,-2.840189458689737,-3.3057533118524325,-3.1199653017904003,-0.09869749872238273,-0.9074177338525942,-0.8081883706483507,8.854028621385623e-15,-0.45125911204858876,0.48878518945485744,-0.6463548169694707,-0.8080048177499668,-1.469846332809974,-1.4212739874238725,1.008418863425296
2020-01-09,1.415242694767312,-2.7813074717752952,-2.9812088071967193,-2.911023264313987,-1.2969910696732245,0.8690916219084297,1.0986979918649669,4.718447854656915e-16,-0.45125911204858876,0.6234178096001562,0.011383276438762288,-0.9295013849995784,-1.0389846376832312,-1.2991552022841861,1.0951514611963984
2020-01-10,1.7812410691489418,-2.6067781897994897,-2.594435835288526,-2.6546994570121245,-1.6248130759510764,2.3175826715219405,2.3220218188842208,-6.161737786669619e-15,-0.45125911204858876,0.47537289380721953,1.6650162276140708,-0.9506029224901904,-0.8300023747549685,-1.008026373009578,1.132346144562219
2020-01-11,0.9359323149591989,-1.5966155439293581,-2.786747773343176,-3.3794070470579296,0.2022166262002622,0.4095013930207807,-0.42269263081683534,2.942091015256665e-15,-0.45125911204858876,-1.8727054204574007,0.3518392379468229,-0.3252837252527859,-0.7429569200549511,-1.2845149403202107,1.0118034674397651
2020-01-12,0.990072356154619,-1.5249864806594817,-2.809299149387127,-3.484327561165547,0.41048856699751973,-1.116778794042642,-0.4839563282096972,4.85722573273506e-15,-0.45125911204858876,-1.1361208720342029,0.763018182184381,-0.5116966017197568,-1.368883239820324,-1.4273813673738616,0.9914234536145282
2020-01-13,1.4319097591922572,-1.8565627023580893,-2.7750299289351403,-2.838514795950414,-0.9082629746896274,1.265494786586681,1.2008457825418302,4.85722573273506e-15,-0.45125911204858876,-0.3009487062179884,1.568079055517946,-1.3229420507348482,-1.11051409645424,-1.4265068138416581,1.7316205121109114
2020-01-14,1.5167482637424887,-2.3495469907005835,-2.6728870568227614,-3.09746758086339,-2.0434188081170097,1.4868719490056512,1.4925525053812767,3.9968028886505635e-15,-0.45125911204858876,-0.1545882810963124,1.3431530334237798,-0.7835011742843284,-0.8061666258625245,-1.4265068047071703,1.4401797011364679
2020-01-15,1.614827661210011,-2.146903132885494,-2.7042314658984665,-2.8632772395009876,-2.704417605793785,1.8079027049565488,2.1404258494621518,2.192690473634684e-15,-0.45125911204858876,0.8240384678601645,0.6568666981415481,-1.1288545853433576,-0.7490476184178175,-1.441842866293476,1.4216330064288711
2020-01-16,1.3809364122851167,-1.945376448394851,-2.961709069305517,-3.1494278304990098,-2.704461745181671,0.9841450304985,1.1146260519645352,5.051514762044462e-15,-0.45125911204858876,1.3838201892553175,-0.5103147632969539,-1.6907839202792234,-0.6902922776515052,-0.9333221831090249,1.1150528494733927
2020-01-17,1.1243010030371856,-1.9453715062538566,-3.04886382390526,-3.3240678334094573,-2.6330955904012674,-1.6478432117470014,-0.9206523411119628,5.190292640122607e-15,-0.45125911204858876,1.8628231290417478,-1.4844325838175105,-1.7842624492684818,-0.6947885317752545,-1.2671498598545197,-1.0531214391333714
2020-01-18,1.313272486327157,-1.3457765234193493,-3.147608722536976,-3.098154035748855,-2.3936905862367217,-0.5945501362478666,0.536016632636506,6.050715484207103e-15,0.6365615742396881,1.5981469599460538,-0.09656366572117527,-0.91166859254158,-0.6952757287880558,-0.7701584583412024,0.5904284390471064
2020-01-19,0.967205309297681,-0.5561855200976585,-2.991916805096275,-3.408131823689199,-2.3934241098904385,-1.692092789447134,-0.935104073557979,1.3322676295501878e-14,2.4403674940205704,0.9664878037609808,-0.1418149088716088,-1.7753784910112405,-1.4364407687326728,-0.362584820425435,-0.8392313284622129
2020-01-20,0.78515464379882,-0.5560767002208761,-2.9958888608752288,-3.401624837930447,-2.3934241098745552,-2.265967300630584,-1.587521844510268,1.61259894326804e-14,-0.45125911204858876,-0.044039741221691964,-0.38401835650540983,-1.4437315235351633,-1.6905286866171472,-0.3966888549818622,-1.2637937092384446
2020-01-21,0.8563181544078922,-0.865834812331383,-1.6037764608170912,-1.9602856793346561,-1.8578059035319199,-2.2210106316010947,-1.0309281957195071,1.2378986724570495e-14,-0.45125911204858876,1.276846195661078,-1.2135047745417864,-2.0817237394454726,-1.7825918027858214,-1.0800272012078895,-1.9442920772760606
2020-01-22,1.2233760853536413,1.361455327635195,-0.09675084576117475,0.3215686739572999,-1.206047925543197,-0.49778271763023163,0.8363958512376971,1.3600232051658168e-15,-0.45125911204858876,1.3238142034793072,0.05504449041769047,-1.7749104093713488,-1.4662575223748509,-1.0140012001060883,1.3708887902362736
2020-01-23,1.3840047808745672,0.6089463856682427,-0.33188235108359987,0.6611564899438234,-0.9701758324502998,0.7113932227348347,0.9486602652531924,-1.3877787807814457e-16,-0.45125911204858876,0.2522476489675219,2.045718807179672,-0.3647107901631059,-1.0821845639122014,-1.038289282033776,1.1353016921771284
2020-01-24,0.9249704088129314,-0.45327278640508106,-0.9785855070074478,-1.4583839967066516,0.2599390556220169,-1.4563164689148935,-0.9056585578520748,4.413136522884997e-15,-0.45125911204858876,0.16316981098413674,0.5534075860495905,-0.38407743394817195,-1.1578811848053232,-0.8140738153843912,-0.6356878938406323
2020-01-25,1.237414919567791,0.6819487726403916,-0.17748180993049775,-0.1787077493435767,-1.1696614647948158,-0.08227521855626313,0.9693166979091971,2.4424906541753444e-15,-0.45125911204858876,1.3356999781547532,-0.09764338239098866,-1.7377720561874856,-1.2773157519972962,-1.436283245250408,1.042317603996632
2020-01-26,1.19483740167692,0.32758015438946814,-0.763769508341643,-0.7569864352253715,-0.4249297303858537,-0.4011599213784647,0.28494185984664355,1.304512053934559e-15,-0.45125911204858876,-0.3610854098346451,0.7413557589212091,-0.4811166993020094,-0.4590908436531014,-1.4781554614038186,1.6949878368255844
2020-01-27,1.084557919784209,-0.8230026912367284,-0.4995786241831016,-0.9591246535816212,0.36882699926048396,-0.8673182353658594,-0.4263956022420083,-4.163336342344337e-16,-0.45125911204858876,-0.7823238414176766,0.40401040426455465,-0.23788031334767687,-0.5687667330542352,-1.2531847253338468,1.2345029537139578
2020-01-28,1.116112598788769,1.4975358879384393,-0.5163082136095789,-0.7440519609182172,-0.5255894475749112,-0.04644070919247437,-0.3415377553096842,-2.9698465908722937e-15,-0.45125911204858876,-0.5977568682587204,-0.05586968240407694,-0.16140464832441911,-0.47625259661889546,-1.0756119355424962,1.1446578702786938
2020-01-29,0.9198699966276731,-1.3094339247664648,-1.1120863823353517,-1.5979035847588337,0.533300757376236,0.3267247588367182,-0.14598538222986118,2.8033131371785203e-15,-0.45125911204858876,-1.5887035999828487,-0.23666255993271157,-0.15212475460910335,-1.1221045728492134,-0.7791307962799594,-0.914801874664663
2020-01-30,1.0212805049387412,-0.618470353651549,-0.37014407178440434,-0.8635535714706939,-0.34175540104567953,-0.46630357261737393,0.3317620869973499,-1.1102230246251565e-15,-0.45125911204858876,-0.054646620803801976,1.5856717823908348,-1.5659670208450718,-1.560209468812169,-1.1845862894466987,-1.1532616651878387
2020-01-31,1.26229182018456,0.8896715263117363,0.1326811259307746,0.2166598499100404,-1.2957180982131224,0.2938815236034153,1.227731619248081,4.385380947269368e-15,-0.45125911204858876,1.2856133501115765,0.7547774219759602,-0.8744248346018881,-1.7042898562029623,-0.8566028649909787,-0.3439286975236579
