date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,Class
2020-12-01,1.37625,18.4,21.700000000000003,36.0,9.0,64.47916666666667,24.994791666666668,716.1750000000001,0.0,44.04166666666666,0.5000000000000019,0.1165416666666666,13.116875,5.616666666666667,107.60416666666669,0
2020-12-02,1.7170833333333333,18.4,21.700000000000003,36.0,9.0,109.91666666666669,13.015625,713.6666666666666,0.0,41.375,0.5,0.1202916666666666,15.99,7.8,142.25,0
2020-12-03,1.275,18.4,21.700000000000003,36.0,9.0,68.08333333333333,19.760416666666668,719.0166666666668,0.0,31.166666666666668,0.5,0.1198333333333333,11.247083333333334,8.404166666666667,45.333333333333336,0
2020-12-04,1.1695833333333334,18.4,21.700000000000003,36.0,9.0,53.25,10.5,718.8625000000001,0.0,35.458333333333336,0.5,0.118,10.824583333333337,7.833333333333333,74.79166666666667,0
2020-12-05,1.28625,18.4,21.700000000000003,36.0,9.0,68.54166666666667,11.583333333333334,717.7916666666666,0.0,46.208333333333336,0.5,0.0949166666666666,11.622083333333334,4.920833333333333,130.66666666666666,0
2020-12-06,1.5316666666666665,18.4,21.700000000000003,36.0,9.0,95.77083333333331,15.770833333333334,717.4499999999999,0.0,38.583333333333336,0.5,0.1057083333333333,14.135416666666666,5.6375,181.47916666666663,0
2020-12-07,1.6895833333333332,18.4,21.700000000000003,36.0,9.0,82.0625,10.5625,718.9458333333333,0.0,29.27083333333333,0.5,0.1154166666666666,16.36625,5.985416666666667,180.91666666666663,0
2020-12-08,1.8510416666666665,18.4,21.700000000000003,36.0,9.0,106.25,18.166666666666668,719.8625000000001,0.0,32.25,0.5,0.09825,16.370416666666667,4.183333333333334,205.125,0
2020-12-09,2.23123046875,18.4,21.700000000000003,36.0,9.0,136.61458333333334,23.916666666666668,717.8000000000001,0.0,30.791666666666668,0.5,0.1126249999999999,18.515,5.358333333333333,163.54166666666666,0
2020-12-10,2.160833333333333,18.4,21.700000000000003,36.0,9.0,121.79166666666669,19.416666666666668,712.4875000000001,0.0,40.0,0.5,0.0987083333333333,19.692916666666665,4.025,192.79166666666663,0
2020-12-11,2.04375,18.4,21.700000000000003,36.0,9.0,114.6875,18.791666666666668,710.1416666666668,0.0,45.41666666666666,0.5,0.0949583333333333,21.94875,5.645833333333333,164.77083333333334,0
2020-12-12,1.7416666666666665,18.4,21.700000000000003,36.0,9.0,94.125,17.541666666666668,711.7416666666667,0.0,52.625,0.5,0.0967916666666666,21.9225,6.025,129.41666666666666,0
2020-12-13,1.3491666666666668,18.4,21.700000000000003,36.0,9.0,97.47916666666669,14.020833333333334,711.8958333333334,0.0,51.29166666666666,1.9416730244954428,0.0979166666666666,22.209166666666665,8.752083333333333,156.125,0
2020-12-14,1.3179166666666666,18.4,21.700000000000003,36.0,9.0,141.22526041666666,11.541666666666666,718.1458333333334,0.0,34.333333333333336,3.099993642171603,0.1028333333333333,12.134166666666667,8.583333333333334,79.41666666666667,0
2020-12-15,1.6195833333333332,18.4,21.700000000000003,36.0,9.0,117.29166666666669,12.729166666666666,710.85,0.0,37.208333333333336,3.0999999999996213,0.1120833333333333,14.33375,6.558333333333334,104.66666666666669,0
2020-12-16,1.387916666666667,18.4,21.700000000000003,36.0,9.0,85.375,9.041666666666666,716.4125,0.0,29.625,3.1,0.11275,14.137083333333337,5.625,87.20833333333333,0
2020-12-17,1.4860416666666667,18.4,21.700000000000003,36.0,9.0,118.89583333333331,16.5625,718.1145833333334,0.0,37.16666666666666,3.1,0.1115,13.254375,6.98125,96.83333333333331,0
2020-12-18,1.8733333333333333,18.4,21.700000000000003,36.0,9.0,91.95833333333331,19.0,715.4166666666666,0.0,58.66666666666666,3.1,0.1013333333333333,15.482083333333334,4.8125,152.25,0
2020-12-19,2.1279231770833333,18.4,21.700000000000003,36.0,9.0,105.67708333333331,17.666666666666668,714.6875,0.0,43.875,3.1,0.1077916666666666,19.305,7.887499999999999,127.625,0
2020-12-20,1.5783854166666669,18.4,21.700000000000003,36.0,9.0,69.64583333333333,12.575520833333334,716.3734375,0.0,28.010416666666668,3.1,0.0600416666666666,18.606927083333336,5.056770833333333,150.33333333333334,0
2020-12-21,1.77375,18.4,21.700000000000003,36.0,9.0,85.79166666666667,13.645833333333334,716.2125,0.0,48.79166666666666,3.1,0.1000833333333333,18.05125,5.275,135.83333333333334,0
2020-12-22,1.1854092407226562,18.4,21.700000000000003,36.0,9.0,48.62462361653646,13.66656494140625,714.670819091797,0.0,49.95780436197917,3.1,0.0008749999999999,10.746967569986978,2.479139200846354,215.7915242513021,0
2020-12-23,2.1686653645833336,18.4,21.700000000000003,36.0,9.0,113.41666666666669,18.916666666666668,710.9666666666667,0.0,49.333333333333336,3.1,0.1116666666666666,22.014166666666668,6.295833333333333,187.41666666666663,0
2020-12-24,1.3183333333333334,18.4,21.700000000000003,36.0,9.0,113.0625,10.895833333333334,720.8874999999999,0.0,22.416666666666668,3.1,0.1040833333333333,13.6175,8.947916666666666,74.58333333333333,0
2020-12-25,1.5775,18.4,21.700000000000003,36.0,9.0,95.8125,22.135416666666668,720.5416666666666,0.0,19.875,3.1,0.0989583333333333,12.14625,5.408333333333334,155.375,0
2020-12-26,1.6145833333333333,18.4,21.700000000000003,36.0,9.0,77.95833333333333,14.333333333333334,715.8249999999999,0.0,22.95833333333333,3.1,0.10925,13.7725,4.516666666666667,164.04166666666666,0
